ticker,market_cap,recorded_on
6762.TWO,6999168512.0,2025-11-07
6747.TWO,5399199744.0,2025-11-07
6679.TWO,10524249088.0,2025-11-07
3611.TWO,9354545152.0,2025-11-07
6953.TWO,5882861568.0,2025-11-07
7738.TWO,5348059136.0,2025-11-07
3260.TWO,61868752896.0,2025-11-07
4979.TWO,27463800832.0,2025-11-07
3570.TWO,3316817920.0,2025-11-07
3587.TWO,12904859648.0,2025-11-07
5903.TWO,42858242048.0,2025-11-07
3147.TWO,8366028288.0,2025-11-07
6290.TWO,30394021888.0,2025-11-07
6870.TWO,4401060352.0,2025-11-07
8932.TWO,33434040320.0,2025-11-07
3217.TWO,16579172352.0,2025-11-07
6922.TWO,4979681792.0,2025-11-07
6727.TWO,4919772160.0,2025-11-07
2729.TWO,7780665344.0,2025-11-07
6732.TWO,8901984256.0,2025-11-07
6613.TWO,13298786304.0,2025-11-07
5209.TWO,4960511488.0,2025-11-07
5287.TWO,10524801024.0,2025-11-07
5474.TWO,6917708288.0,2025-11-07
6690.TWO,5174951936.0,2025-11-07
8416.TWO,4866397696.0,2025-11-07
6146.TWO,17317423104.0,2025-11-07
4760.TWO,5353214976.0,2025-11-07
8227.TWO,6564137984.0,2025-11-07
8155.TWO,9173762048.0,2025-11-07
1268.TWO,6882467840.0,2025-11-07
3551.TWO,9908770816.0,2025-11-07
4991.TWO,18148915200.0,2025-11-07
6712.TWO,13971721216.0,2025-11-07
7556.TWO,4183559424.0,2025-11-07
4971.TWO,6217783296.0,2025-11-07
6629.TWO,5900689920.0,2025-11-07
8937.TWO,15518943232.0,2025-11-07
8083.TWO,5322678784.0,2025-11-07
3374.TWO,40704647168.0,2025-11-07
3675.TWO,7958688768.0,2025-11-07
4931.TWO,9678619648.0,2025-11-07
6596.TWO,5528999936.0,2025-11-07
6903.TWO,9317491712.0,2025-11-07
