ticker,stock,price,recorded_on
3086.TWO,華義,241.5,2025-11-27
3526.TWO,凡甲,241.0,2025-11-27
6138.TWO,茂達,240.0,2025-11-27
6667.TWO,信紘科,237.5,2025-11-27
6895.TWO,宏碩系統,230.0,2025-11-27
6881.TWO,潤德,228.5,2025-11-27
8358.TWO,金居,228.0,2025-11-27
4979.TWO,華星光,224.0,2025-11-27
6788.TWO,華景電,218.0,2025-11-27
3611.TWO,鼎翰,214.5,2025-11-27
2752.TWO,豆府,213.5,2025-11-27
6811.TWO,宏碁資訊,213.0,2025-11-27
6231.TWO,系微,210.5,2025-11-27
7738.TWO,東聯互動,210.5,2025-11-27
3227.TWO,原相,208.0,2025-11-27
4768.TWO,晶呈科技,203.5,2025-11-27
6894.TWO,衛司特,203.0,2025-11-27
6535.TWO,順藥,198.0,2025-11-27
3587.TWO,閎康,195.0,2025-11-27
6762.TWO,達亞,195.0,2025-11-27
4971.TWO,IET-KY,194.5,2025-11-27
7703.TWO,銳澤,194.0,2025-11-27
8069.TWO,元太,193.5,2025-11-27
5903.TWO,全家,192.0,2025-11-27
6953.TWO,家碩,186.5,2025-11-27
6922.TWO,宸曜,186.0,2025-11-27
6870.TWO,騰雲,185.0,2025-11-27
6679.TWO,鈺太,184.5,2025-11-27
6290.TWO,良維,184.0,2025-11-27
2729.TWO,瓦城,180.5,2025-11-27
8155.TWO,博智,180.5,2025-11-27
3147.TWO,大綜,179.0,2025-11-27
6732.TWO,昇佳電子,179.0,2025-11-27
4760.TWO,勤凱,178.0,2025-11-27
3260.TWO,威剛,176.0,2025-11-27
6613.TWO,朋億,175.5,2025-11-27
8932.TWO,智通,175.5,2025-11-27
5287.TWO,數字,173.5,2025-11-27
8416.TWO,實威,173.0,2025-11-27
3570.TWO,大塚,172.5,2025-11-27
6712.TWO,長聖,170.5,2025-11-27
6291.TWO,沛亨,170.0,2025-11-27
6690.TWO,安碁資訊,168.5,2025-11-27
6727.TWO,亞泰金屬,168.0,2025-11-27
3217.TWO,優群,167.5,2025-11-27
4991.TWO,環宇-KY,166.5,2025-11-27
5209.TWO,新鼎,166.0,2025-11-27
6903.TWO,巨漢,165.5,2025-11-27
5474.TWO,聰泰,163.0,2025-11-27
7556.TWO,意德士,163.0,2025-11-27
6146.TWO,耕興,160.5,2025-11-27
3357.TWO,臺慶科,159.5,2025-11-27
1268.TWO,漢來美食,157.5,2025-11-27
3551.TWO,世禾,155.5,2025-11-27
8937.TWO,合騏,155.0,2025-11-27
8083.TWO,瑞穎,154.0,2025-11-27
3218.TWO,大學光,152.0,2025-11-27
6996.TWO,力領科技,151.5,2025-11-27
