ticker_id,traded_on,volume
128,2026-03-27,81107
128,2026-03-30,115043
128,2026-03-31,274361
128,2026-04-01,229065
128,2026-04-02,394188
128,2026-04-07,220120
128,2026-04-08,174179
128,2026-04-09,118400
128,2026-04-10,181593
128,2026-04-13,475263
128,2026-04-14,331072
128,2026-04-15,312812
128,2026-04-16,434327
128,2026-04-17,488530
128,2026-04-20,381282
128,2026-04-21,388633
128,2026-04-22,320148
128,2026-04-23,361100
128,2026-04-24,484365
128,2026-04-27,12000
69,2026-03-27,1175651
69,2026-03-30,1203269
69,2026-03-31,1879410
69,2026-04-01,1356341
69,2026-04-02,1456719
69,2026-04-07,1780014
69,2026-04-08,1522905
69,2026-04-09,1491215
69,2026-04-10,1377683
69,2026-04-13,745322
69,2026-04-14,804741
69,2026-04-15,1123869
69,2026-04-16,1478278
69,2026-04-17,1335591
69,2026-04-20,1163883
69,2026-04-21,1561610
69,2026-04-22,1017389
69,2026-04-23,1391116
69,2026-04-24,443384
182,2026-03-27,723957
182,2026-03-30,961874
182,2026-03-31,1306906
182,2026-04-01,1151088
182,2026-04-02,1309214
182,2026-04-07,920706
182,2026-04-08,1114585
182,2026-04-09,1023786
182,2026-04-10,688573
182,2026-04-13,760227
182,2026-04-14,1378483
182,2026-04-15,1004352
182,2026-04-16,1080223
182,2026-04-17,1896445
182,2026-04-20,1056656
182,2026-04-21,1166462
182,2026-04-22,1640212
182,2026-04-23,2376739
182,2026-04-24,1463618
182,2026-04-27,47000
140,2026-03-27,1841064
140,2026-03-30,1114129
140,2026-03-31,1387162
140,2026-04-01,1327896
140,2026-04-02,1238667
140,2026-04-07,882493
140,2026-04-08,1575530
140,2026-04-09,1353531
140,2026-04-10,1199187
140,2026-04-13,1279296
140,2026-04-14,2010303
140,2026-04-15,1573098
140,2026-04-16,1264724
140,2026-04-17,2635353
140,2026-04-20,2112176
140,2026-04-21,3407767
140,2026-04-22,2871251
140,2026-04-23,3201178
140,2026-04-24,4493181
140,2026-04-27,425000
20,2026-03-27,1912713
20,2026-03-30,3499420
20,2026-03-31,4409146
20,2026-04-01,2815372
20,2026-04-02,3943159
20,2026-04-07,3126739
20,2026-04-08,2018936
20,2026-04-09,3138777
20,2026-04-10,2881630
20,2026-04-13,2325660
20,2026-04-14,3248272
20,2026-04-15,3789573
20,2026-04-16,2724740
20,2026-04-17,2604689
20,2026-04-20,3430592
20,2026-04-21,2633420
20,2026-04-22,2752384
20,2026-04-23,4281211
20,2026-04-24,4203050
20,2026-04-27,259000
70,2026-03-27,1412736
70,2026-03-30,3597641
70,2026-03-31,4317106
70,2026-04-01,1572388
70,2026-04-02,2122387
70,2026-04-07,1245484
70,2026-04-08,1897982
70,2026-04-09,1537805
70,2026-04-10,1763626
70,2026-04-13,1857092
70,2026-04-14,1932649
70,2026-04-15,1640940
70,2026-04-16,4432553
70,2026-04-17,2844865
70,2026-04-20,2734748
70,2026-04-21,4105595
70,2026-04-22,3171566
70,2026-04-23,3783077
70,2026-04-24,3040979
70,2026-04-27,123000
56,2026-03-27,1398103
56,2026-03-30,2318884
56,2026-03-31,2457343
56,2026-04-01,1872717
56,2026-04-02,1659329
56,2026-04-07,927306
56,2026-04-08,3171764
56,2026-04-09,3186214
56,2026-04-10,2374272
56,2026-04-13,2833595
56,2026-04-14,3779730
56,2026-04-15,3605762
56,2026-04-16,4048279
56,2026-04-17,1217554
56,2026-04-20,1066867
56,2026-04-21,1017133
56,2026-04-22,871862
56,2026-04-23,1631352
56,2026-04-24,1700425
8,2026-03-27,395307
8,2026-03-30,418985
8,2026-03-31,901323
8,2026-04-01,747131
8,2026-04-02,491123
8,2026-04-07,465915
8,2026-04-08,460401
8,2026-04-09,404240
8,2026-04-10,435328
8,2026-04-13,524696
8,2026-04-14,948811
8,2026-04-15,607285
8,2026-04-16,571197
8,2026-04-17,920961
8,2026-04-20,744785
8,2026-04-21,666438
8,2026-04-22,519668
8,2026-04-23,1077314
8,2026-04-24,1582435
8,2026-04-27,27000
30,2026-03-27,5251492
30,2026-03-30,3093844
30,2026-03-31,5178551
30,2026-04-01,3861573
30,2026-04-02,2973303
30,2026-04-07,4277462
30,2026-04-08,3565271
30,2026-04-09,4408179
30,2026-04-10,3063334
30,2026-04-13,2907535
30,2026-04-14,3569020
30,2026-04-15,3098100
30,2026-04-16,4412688
30,2026-04-17,3700622
30,2026-04-20,3400147
30,2026-04-21,3940435
30,2026-04-22,4908525
30,2026-04-23,6411377
30,2026-04-24,4928531
30,2026-04-27,453000
71,2026-03-27,2519542
71,2026-03-30,2309087
71,2026-03-31,3628608
71,2026-04-01,2555176
71,2026-04-02,4775396
71,2026-04-07,2696385
71,2026-04-08,2616667
71,2026-04-09,3662829
71,2026-04-10,2293430
71,2026-04-13,1932336
71,2026-04-14,2906999
71,2026-04-15,2400200
71,2026-04-16,2575628
71,2026-04-17,2263409
71,2026-04-20,2538403
71,2026-04-21,2554256
71,2026-04-22,3168869
71,2026-04-23,6501191
71,2026-04-24,3388426
71,2026-04-27,92000
29,2026-03-27,515346
29,2026-03-30,470604
29,2026-03-31,767043
29,2026-04-01,357355
29,2026-04-02,414597
29,2026-04-07,491369
29,2026-04-08,877928
29,2026-04-09,686925
29,2026-04-10,341444
29,2026-04-13,1221035
29,2026-04-14,3258173
29,2026-04-15,3967308
29,2026-04-16,2710812
29,2026-04-17,3979619
29,2026-04-20,2462299
29,2026-04-21,1546132
29,2026-04-22,1516368
29,2026-04-23,1983692
29,2026-04-24,1442606
29,2026-04-27,130000
62,2026-03-27,1838287
62,2026-03-30,2215909
62,2026-03-31,3216306
62,2026-04-01,2529425
62,2026-04-02,1229656
62,2026-04-07,1517707
62,2026-04-08,1466213
62,2026-04-09,1353291
62,2026-04-10,1119452
62,2026-04-13,858809
62,2026-04-14,754219
62,2026-04-15,1674266
62,2026-04-16,1649505
62,2026-04-17,675159
62,2026-04-20,2158798
62,2026-04-21,1312323
62,2026-04-22,1056297
62,2026-04-23,2685769
62,2026-04-24,2318317
62,2026-04-27,73000
25,2026-03-27,6833766
25,2026-03-30,7235491
25,2026-03-31,10218910
25,2026-04-01,10756280
25,2026-04-02,8691522
25,2026-04-07,6910617
25,2026-04-08,12976420
25,2026-04-09,8061675
25,2026-04-10,5381936
25,2026-04-13,8802674
25,2026-04-14,11909857
25,2026-04-15,20848384
25,2026-04-16,16504496
25,2026-04-17,15450213
25,2026-04-20,11027820
25,2026-04-21,17347421
25,2026-04-22,23044579
25,2026-04-23,28172336
25,2026-04-24,21684950
25,2026-04-27,2548000
12,2026-03-27,28974140
12,2026-03-30,39889700
12,2026-03-31,49221091
12,2026-04-01,35537379
12,2026-04-02,25132417
12,2026-04-07,17953562
12,2026-04-08,46515921
12,2026-04-09,31835073
12,2026-04-10,28637625
12,2026-04-13,28968757
12,2026-04-14,39113405
12,2026-04-15,40343568
12,2026-04-16,32038524
12,2026-04-17,39260244
12,2026-04-20,25407621
12,2026-04-21,25783476
12,2026-04-22,24762881
12,2026-04-23,48682193
12,2026-04-24,45088050
12,2026-04-27,9742000
13,2026-03-27,4372366
13,2026-03-30,3829260
13,2026-03-31,5071126
13,2026-04-01,4168739
13,2026-04-02,3219664
13,2026-04-07,3245867
13,2026-04-08,5219110
13,2026-04-09,3153701
13,2026-04-10,5517060
13,2026-04-13,2860404
13,2026-04-14,3716906
13,2026-04-15,7025204
13,2026-04-16,3738466
13,2026-04-17,3265578
13,2026-04-20,3816176
13,2026-04-21,6139445
13,2026-04-22,4604068
13,2026-04-23,6242141
13,2026-04-24,4827960
13,2026-04-27,249000
180,2026-03-27,232139
180,2026-03-30,332940
180,2026-03-31,317197
180,2026-04-01,328204
180,2026-04-02,204877
180,2026-04-07,368809
180,2026-04-08,466322
180,2026-04-09,542693
180,2026-04-10,476658
180,2026-04-13,767732
180,2026-04-14,697984
180,2026-04-15,437962
180,2026-04-16,263631
180,2026-04-17,554306
180,2026-04-20,654949
180,2026-04-21,443162
180,2026-04-22,938452
180,2026-04-23,1463651
180,2026-04-24,1338587
180,2026-04-27,56000
10,2026-03-27,10081583
10,2026-03-30,11069480
10,2026-03-31,18001261
10,2026-04-01,11380012
10,2026-04-02,9316602
10,2026-04-07,9471155
10,2026-04-08,11931374
10,2026-04-09,14632032
10,2026-04-10,10973678
10,2026-04-13,6680545
10,2026-04-14,9707370
10,2026-04-15,9811750
10,2026-04-16,9212364
10,2026-04-17,8436351
10,2026-04-20,9692483
10,2026-04-21,8888821
10,2026-04-22,10117948
10,2026-04-23,15088821
10,2026-04-24,10846873
10,2026-04-27,1158000
15,2026-03-27,3531525
15,2026-03-30,3053434
15,2026-03-31,4865662
15,2026-04-01,4298521
15,2026-04-02,5784963
15,2026-04-07,3272791
15,2026-04-08,2355088
15,2026-04-09,6290541
15,2026-04-10,3885471
15,2026-04-13,4508003
15,2026-04-14,3249167
15,2026-04-15,2822803
15,2026-04-16,6649622
15,2026-04-17,5102149
15,2026-04-20,7989339
15,2026-04-21,5637728
15,2026-04-22,3878857
15,2026-04-23,5669018
15,2026-04-24,3157293
15,2026-04-27,211000
154,2026-03-27,983307
154,2026-03-30,1085885
154,2026-03-31,1254502
154,2026-04-01,1021962
154,2026-04-02,1699169
154,2026-04-07,1078691
154,2026-04-08,2755129
154,2026-04-09,1897263
154,2026-04-10,1690785
154,2026-04-13,3243659
154,2026-04-14,2241557
154,2026-04-15,2186493
154,2026-04-16,2745952
154,2026-04-17,1741776
154,2026-04-20,1605942
154,2026-04-21,2105704
154,2026-04-22,2385277
154,2026-04-23,3001656
154,2026-04-24,3541693
154,2026-04-27,139000
121,2026-03-27,2382378
121,2026-03-30,2293228
121,2026-03-31,2824201
121,2026-04-01,2475758
121,2026-04-02,3665083
121,2026-04-07,2661723
121,2026-04-08,2924143
121,2026-04-09,2665217
121,2026-04-10,3293811
121,2026-04-13,4475615
121,2026-04-14,3935976
121,2026-04-15,4625718
121,2026-04-16,2654882
121,2026-04-17,4679123
121,2026-04-20,4376126
121,2026-04-21,5382370
121,2026-04-22,1004118
121,2026-04-23,1962615
121,2026-04-24,1926877
121,2026-04-27,72000
16,2026-03-27,4817406
16,2026-03-30,5955596
16,2026-03-31,8025319
16,2026-04-01,7089816
16,2026-04-02,9854053
16,2026-04-07,5573989
16,2026-04-08,7607970
16,2026-04-09,9320498
16,2026-04-10,8786143
16,2026-04-13,4826029
16,2026-04-14,6708480
16,2026-04-15,9068553
16,2026-04-16,4175479
16,2026-04-17,3722027
16,2026-04-20,5687391
16,2026-04-21,4284519
16,2026-04-22,3875565
16,2026-04-23,8073957
16,2026-04-24,8425249
16,2026-04-27,862000
6,2026-03-27,336591
6,2026-03-30,403011
6,2026-03-31,1052000
6,2026-04-01,703403
6,2026-04-02,768386
6,2026-04-07,687055
6,2026-04-08,920102
6,2026-04-09,658242
6,2026-04-10,961196
6,2026-04-13,528374
6,2026-04-14,443152
6,2026-04-15,1123178
6,2026-04-16,1325191
6,2026-04-17,1425311
6,2026-04-20,1841302
6,2026-04-21,1401082
6,2026-04-22,1953283
6,2026-04-23,2570780
6,2026-04-24,2811407
6,2026-04-27,172000
188,2026-03-27,405221
188,2026-03-30,1447908
188,2026-03-31,881544
188,2026-04-01,696319
188,2026-04-02,1071121
188,2026-04-07,1169881
188,2026-04-08,1091208
188,2026-04-09,932072
188,2026-04-10,515194
188,2026-04-13,837554
188,2026-04-14,614861
188,2026-04-15,861492
188,2026-04-16,778141
188,2026-04-17,560294
188,2026-04-20,543845
188,2026-04-21,379974
188,2026-04-22,1056890
188,2026-04-23,914691
188,2026-04-24,480211
188,2026-04-27,10000
92,2026-03-27,390037
92,2026-03-30,983284
92,2026-03-31,689211
92,2026-04-01,393955
92,2026-04-02,760610
92,2026-04-07,1225211
92,2026-04-08,756717
92,2026-04-09,652245
92,2026-04-10,823290
92,2026-04-13,490609
92,2026-04-14,1270361
92,2026-04-15,827697
92,2026-04-16,2091937
92,2026-04-17,1653127
92,2026-04-20,1697857
92,2026-04-21,1284988
92,2026-04-22,2407505
92,2026-04-23,4660430
92,2026-04-24,1931107
92,2026-04-27,121000
195,2026-03-27,1530564
195,2026-03-30,2653838
195,2026-03-31,2965065
195,2026-04-01,2361919
195,2026-04-02,5081369
195,2026-04-07,3106975
195,2026-04-08,3848877
195,2026-04-09,2703612
195,2026-04-10,1418061
195,2026-04-13,2074988
195,2026-04-14,5261596
195,2026-04-15,5169273
195,2026-04-16,4241426
195,2026-04-17,2332518
195,2026-04-20,1937829
195,2026-04-21,1746010
195,2026-04-22,2340786
195,2026-04-23,5721926
195,2026-04-24,5122077
195,2026-04-27,351000
200,2026-03-27,2629317
200,2026-03-30,4547894
200,2026-03-31,4827907
200,2026-04-01,4921698
200,2026-04-02,4203636
200,2026-04-07,3520362
200,2026-04-08,5585344
200,2026-04-09,4858104
200,2026-04-10,4737325
200,2026-04-13,3965832
200,2026-04-14,4759195
200,2026-04-15,1377187
200,2026-04-16,1582228
200,2026-04-17,1429678
200,2026-04-20,1664827
200,2026-04-21,1030677
200,2026-04-22,776649
